This list contains all games supported by FB Alpha.

4642 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 64streetja	|  	| 64th. Street - A Detective Story (Japan, alt)		| 64street	| 1991	| Jaleco	| Mega System 1	| 					|
| 64streetj	|  	| 64th. Street - A Detective Story (Japan, set 1)	| 64street	| 1991	| Jaleco	| Mega System 1	| 					|
| 64street	|  	| 64th. Street - A Detective Story (World)		| 		| 1991	| Jaleco	| Mega System 1	| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					|
| abcopjd	|  	| A.B. Cop (Japan, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					|
| abcopj	|  	| A.B. Cop (Japan, FD1094 317-0169b)			| abcop		| 1990	| Sega		| X-Board	| 					|
| abcopd	|  	| A.B. Cop (World, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					|
| abcop		|  	| A.B. Cop (World, FD1094 317-0169b)			| 		| 1990	| Sega		| X-Board	| 					|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|  	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					|
| actfancrj	|  	| Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr1	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 2)| 		| 1989	| Data East Corp| Miscellaneous	| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| hatena	|  	| Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228)| 		| 1990	| Capcom	| Miscellaneous	| 					|
